time_ms,price,equity,lp_value,fees,phase
1774252800000,85.95690174336502,200.0,-0.0,0.0,Paused
1774256400000,85.95690174336502,200.0,-0.0,0.0,Paused
1774260000000,85.68233411011683,200.0,-0.0,0.0,Paused
1774263600000,86.09451532678722,200.0,-0.0,0.0,Paused
1774267200000,88.75143789222037,200.0,-0.0,0.0,Paused
1774270800000,90.21866644285672,200.0,-0.0,0.0,Paused
1774274400000,91.30759316519983,200.0,-0.0,0.0,Paused
1774278000000,91.52695064392869,200.0,-0.0,0.0,Paused
1774281600000,89.93048567764042,200.0,-0.0,0.0,Paused
1774285200000,90.29085581099764,200.0,-0.0,0.0,Paused
1774288800000,91.27108473130735,200.0,-0.0,0.0,Paused
1774292400000,91.6001868487559,200.0,-0.0,0.0,Paused
1774296000000,91.41720611048648,200.0,-0.0,0.0,Paused
1774299600000,91.78353384138816,200.0,-0.0,0.0,Paused
1774303200000,91.6368269234954,200.0,-0.0,0.0,Paused
1774306800000,91.52695064392869,200.0,-0.0,0.0,Paused
1774310400000,91.45377299293068,200.0,-0.0,0.0,Paused
1774314000000,91.01593409833625,200.0,-0.0,0.0,Paused
1774317600000,90.3992481833602,200.0,-0.0,0.0,Paused
1774321200000,90.11049059533974,200.0,-0.0,0.0,Paused
1774324800000,90.29085581099764,200.0,-0.0,0.0,Paused
1774328400000,90.32697215332205,200.0,-0.0,0.0,Paused
1774332000000,90.11049059533974,200.0,-0.0,0.0,Paused
1774335600000,90.43540788263356,200.0,-0.0,0.0,Paused
1774339200000,91.71015104692653,200.0,-0.0,0.0,Paused
1774342800000,91.56356142418625,200.0,-0.0,0.0,Paused
1774346400000,92.0776526690289,200.0,-0.0,0.0,Paused
1774350000000,91.82024725492474,200.0,-0.0,0.0,Paused
1774353600000,91.74683510734523,200.0,-0.0,0.0,Paused
1774357200000,91.56356142418625,200.0,-0.0,0.0,Paused
1774360800000,89.82265537057256,200.0,-0.0,0.0,Paused
1774364400000,89.5357395628018,200.0,-0.0,0.0,Paused
1774368000000,89.71495435642501,200.0,-0.0,0.0,Paused
1774371600000,89.21405461333667,200.0,-0.0,0.0,Paused
1774375200000,89.10708333623033,200.0,-0.0,0.0,Paused
1774378800000,88.89352541695088,200.0,-0.0,0.0,Paused
1774382400000,88.5033309959129,200.0,-0.0,0.0,Paused
1774386000000,90.00244445506024,200.0,-0.0,0.0,Paused
1774389600000,90.3631029421833,200.0,-0.0,0.0,Paused
1774393200000,90.29085581099764,200.0,-0.0,0.0,Paused
1774396800000,90.79780134413107,200.0,-0.0,0.0,Paused
1774400400000,91.30759316519983,200.0,-0.0,0.0,Paused
1774404000000,90.90680229449973,200.0,-0.0,0.0,Paused
1774407600000,91.05234047197555,200.0,-0.0,0.0,Paused
1774411200000,91.6368269234954,200.0,-0.0,0.0,Paused
1774414800000,92.04083633449508,200.0,-0.0,0.0,Paused
1774418400000,92.40966308122326,200.0,-0.0,0.0,Paused
1774422000000,92.37271399562503,200.0,-0.0,0.0,Paused
1774425600000,91.82024725492474,200.0,-0.0,0.0,Paused
1774429200000,92.33577968375154,200.0,-0.0,0.0,Paused
1774432800000,92.59463032200064,200.0,-0.0,0.0,Paused
1774436400000,92.63166817412942,200.0,-0.0,0.0,Paused
1774440000000,92.92850483431792,200.0,-0.0,0.0,Paused
1774443600000,93.04006365174882,200.0,-0.0,0.0,Paused
1774447200000,92.70578832973564,200.0,-0.0,0.0,Paused
1774450800000,91.9304756312258,200.0,-0.0,0.0,Paused
1774454400000,91.78353384138816,200.0,-0.0,0.0,Paused
1774458000000,92.18819005539794,200.0,-0.0,0.0,Paused
1774461600000,91.71015104692653,200.0,-0.0,0.0,Paused
1774465200000,91.6368269234954,200.0,-0.0,0.0,Paused
1774468800000,91.6734816542648,200.0,-0.0,0.0,Paused
1774472400000,91.49035450212786,200.0,-0.0,0.0,Paused
1774476000000,91.27108473130735,200.0,-0.0,0.0,Paused
1774479600000,91.74683510734523,200.0,-0.0,0.0,Paused
1774483200000,91.6734816542648,200.0,-0.0,0.0,Paused
1774486800000,91.6734816542648,200.0,-0.0,0.0,Paused
1774490400000,91.82024725492474,200.0,-0.0,0.0,Paused
1774494000000,90.90680229449973,200.0,-0.0,0.0,Paused
1774497600000,91.05234047197555,200.0,-0.0,0.0,Paused
1774501200000,90.76149674543292,200.0,-0.0,0.0,Paused
1774504800000,89.24974023518199,200.0,-0.0,0.0,Paused
1774508400000,89.00024032203258,200.0,-0.0,0.0,Paused
1774512000000,89.14272616956482,200.0,-0.0,0.0,Paused
1774515600000,88.85798222406125,200.0,-0.0,0.0,Paused
1774519200000,88.11484931700654,200.0,-0.0,0.0,Paused
1774522800000,87.93883089679147,200.0,-0.0,0.0,Paused
1774526400000,87.55282706751834,200.0,-0.0,0.0,Paused
1774530000000,87.55282706751834,200.0,-0.0,0.0,Paused
1774533600000,87.90366942901986,200.0,-0.0,0.0,Paused
1774537200000,87.51781993954255,200.0,-0.0,0.0,Paused
1774540800000,87.51781993954255,200.0,-0.0,0.0,Paused
1774544400000,87.16851758594915,200.0,-0.0,0.0,Paused
1774548000000,86.57790015662609,200.0,-0.0,0.0,Paused
1774551600000,85.99128450406235,200.0,-0.0,0.0,Paused
1774555200000,85.47698409408589,200.0,-0.0,0.0,Paused
1774558800000,86.2668421637768,200.0,-0.0,0.0,Paused
1774562400000,86.8206093728212,200.0,-0.0,0.0,Paused
1774566000000,86.716507933827,200.0,-0.0,0.0,Paused
1774569600000,86.47408973584571,200.0,-0.0,0.0,Paused
1774573200000,86.50867937174004,200.0,-0.0,0.0,Paused
1774576800000,86.85533761657034,200.0,-0.0,0.0,Paused
1774580400000,86.64717632921541,200.0,-0.0,0.0,Paused
1774584000000,86.4049519494938,200.0,-0.0,0.0,Paused
1774587600000,86.16340471417108,200.0,-0.0,0.0,Paused
1774591200000,86.06009129027113,200.0,-0.0,0.0,Paused
1774594800000,86.02568101786402,200.0,-0.0,0.0,Paused
1774598400000,85.85383592491927,200.0,-0.0,0.0,Paused
1774602000000,85.10178643864107,200.0,-0.0,0.0,Paused
1774605600000,85.0677593349071,200.0,-0.0,0.0,Paused
1774609200000,83.01762928486633,200.0,-0.0,0.0,Paused
1774612800000,83.38363828622525,200.0,-0.0,0.0,Paused
1774616400000,83.0840566711149,200.0,-0.0,0.0,Paused
1774620000000,82.88493380002919,200.0,-0.0,0.0,Paused
1774623600000,83.11729029378333,200.0,-0.0,0.0,Paused
1774627200000,83.35029816695847,200.0,-0.0,0.0,Paused
1774630800000,82.98443551066208,200.0,-0.0,0.0,Paused
1774634400000,82.22463111301872,200.0,-0.0,0.0,Paused
1774638000000,82.356269479497,200.0,-0.0,0.0,Paused
1774641600000,82.7855513959911,200.0,-0.0,0.0,Paused
1774645200000,82.71936267075644,200.0,-0.0,0.0,Paused
1774648800000,82.68628815549427,200.0,-0.0,0.0,Paused
1774652400000,82.71936267075644,200.0,-0.0,0.0,Paused
1774656000000,83.0840566711149,200.0,-0.0,0.0,Paused
1774659600000,82.81866561654948,200.0,-0.0,0.0,Paused
1774663200000,82.6201787932311,200.0,-0.0,0.0,Paused
1774666800000,82.52111384120569,200.0,-0.0,0.0,Paused
1774670400000,82.58714393565685,200.0,-0.0,0.0,Paused
1774674000000,82.48811859376818,200.0,-0.0,0.0,Paused
1774677600000,82.71936267075644,200.0,-0.0,0.0,Paused
1774681200000,83.15053720990085,200.0,-0.0,0.0,Paused
1774684800000,83.5839592456071,200.0,-0.0,0.0,Paused
1774688400000,83.38363828622525,200.0,-0.0,0.0,Paused
1774692000000,83.01762928486633,200.0,-0.0,0.0,Paused
1774695600000,82.95125500865859,200.0,-0.0,0.0,Paused
1774699200000,82.88493380002919,200.0,-0.0,0.0,Paused
1774702800000,82.65322686474838,200.0,-0.0,0.0,Paused
1774706400000,83.35029816695847,200.0,-0.0,0.0,Paused
1774710000000,83.18379742478477,200.0,-0.0,0.0,Paused
1774713600000,83.78476145631828,200.0,-0.0,0.0,Paused
1774717200000,83.51713217712428,200.0,-0.0,0.0,Paused
1774720800000,83.28365791524101,200.0,-0.0,0.0,Paused
